year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1992	Alabama	1688060	804283	47.6	690080	40.9
1992	Alaska	258506	102000	39.5	78294	30.3
1992	Arizona	1486975	572086	38.5	543050	36.5
1992	Arkansas	950653	337324	35.5	505823	53.2
1992	California	11131721	3630574	32.6	5121325	46
1992	Colorado	1569180	562850	35.9	629681	40.1
1992	Connecticut	1616332	578313	35.8	682318	42.2
1992	Delaware	289735	102313	35.3	126054	43.5
1992	Dist. of Col.	227572	20698	9.1	192619	84.6
1992	Florida	5314392	2173310	40.9	2072698	39
1992	Georgia	2321125	995252	42.9	1008966	43.5
1992	Hawaii	372842	136822	36.7	179310	48.1
1992	Idaho	482142	202645	42	137013	28.4
1992	Illinois	5050157	1734096	34.3	2453350	48.6
1992	Indiana	2305871	989375	42.9	848420	36.8
1992	Iowa	1354607	504891	37.3	586353	43.3
1992	Kansas	1157335	449951	38.9	390434	33.7
1992	Kentucky	1492900	617178	41.3	665104	44.6
1992	Louisiana	1790017	733386	41	815971	45.6
1992	Maine	679499	206504	30.4	263420	38.8
1992	Maryland	1985046	707094	35.6	988571	49.8
1992	Massachusetts	2773700	805049	29	1318662	47.5
1992	Michigan	4274673	1554940	36.4	1871182	43.8
1992	Minnesota	2347948	747841	31.9	1020997	43.5
1992	Mississippi	981793	487793	49.7	400258	40.8
1992	Missouri	2391565	811159	33.9	1053873	44.1
1992	Montana	410611	144207	35.1	154507	37.6
1992	Nebraska	737546	343678	46.6	216864	29.4
1992	Nevada	506318	175828	34.7	189148	37.4
1992	New Hampshire	537943	202484	37.6	209040	38.9
1992	New Jersey	3343594	1356865	40.6	1436206	43
1992	New Mexico	569986	212824	37.3	261617	45.9
1992	New York	6926925	2346649	33.9	3444450	49.7
1992	North Carolina	2611850	1134661	43.4	1114042	42.7
1992	North Dakota	308133	136244	44.2	99168	32.2
1992	Ohio	4939967	1894310	38.3	1984942	40.2
1992	Oklahoma	1390359	592929	42.6	473066	34
1992	Oregon	1462643	475757	32.5	621314	42.5
1992	Pennsylvania	4959810	1791841	36.1	2239164	45.1
1992	Rhode Island	453477	131601	29	213299	47
1992	South Carolina	1202527	577507	48	479514	39.9
1992	South Dakota	336254	136718	40.7	124888	37.1
1992	Tennessee	1982638	841300	42.4	933521	47.1
1992	Texas	6154018	2496071	40.6	2281815	37.1
1992	Utah	743999	322632	43.4	183429	24.7
1992	Vermont	289701	88122	30.4	133592	46.1
1992	Virginia	2558665	1150517	45	1038650	40.6
1992	Washington	2288230	731234	32	993037	43.4
1992	West Virginia	683762	241974	35.4	331001	48.4
1992	Wisconsin	2531114	930855	36.8	1041066	41.1
1992	Wyoming	200598	79347	39.6	68160	34
