state	civil_war	order_enter
Georgia	confederacy	4
South Carolina	confederacy	8
Virginia	confederacy	10
North Carolina	confederacy	12
Tennessee	confederacy	16
Louisiana	confederacy	18
Mississippi	confederacy	20
Alabama	confederacy	22
Arkansas	confederacy	25
Florida	confederacy	27
Texas	confederacy	28
Nebraska	NA	37
Colorado	NA	38
North Dakota	NA	39
South Dakota	NA	40
Montana	NA	41
Washington	NA	42
Idaho	NA	43
Wyoming	NA	44
Utah	NA	45
Oklahoma	NA	46
New Mexico	NA	47
Arizona	NA	48
Alaska	NA	49
Hawaii	NA	50
Dist. of Col.	NA	NA
Delaware	union	1
Pennsylvania	union	2
New Jersey	union	3
Connecticut	union	5
Massachusetts	union	6
Maryland	union	7
New Hampshire	union	9
New York	union	11
Rhode Island	union	13
Vermont	union	14
Kentucky	union	15
Ohio	union	17
Indiana	union	19
Illinois	union	21
Maine	union	23
Missouri	union	24
Michigan	union	26
Iowa	union	29
Wisconsin	union	30
California	union	31
Minnesota	union	32
Oregon	union	33
Kansas	union	34
West Virginia	union	35
Nevada	union	36
